Despesa,Valor,Categoria,Observação,Data,"Status ",Pagos
Seguro Carro,R$226.51,Seguros,,"October 28, 2024",Não iniciada,No
Nubank,R$156.55,Cartão,,"October 23, 2024",Concluído,Yes
Mercado Pago,R$128.43,Cartão,,"October 23, 2024",Não iniciada,No
DNC,R$233.02,Educação,,"October 23, 2024",Não iniciada,No
Nubank,R$0.00,Empréstimo,,"October 17, 2024",Não iniciada,No
Habitação,R$782.07,Casa,,"October 15, 2024",Não iniciada,No
Condomínio,R$359.92,Casa,,"October 10, 2024",Não iniciada,No
Mercado Pago,R$278.77,Crédito,,"October 10, 2024",Não iniciada,No
" Carro",R$815.41,Bens,,"October 10, 2024",Não iniciada,No
IPTU,R$81.12,Imposto,,"October 10, 2024",Não iniciada,No
Dextel,R$79.90,Internet,,"October 10, 2024",Não iniciada,No
Claro,R$53.03,Internet,,"October 10, 2024",Não iniciada,No
Seguro de Vida,R$35.00,Seguros,,"October 10, 2024",Não iniciada,No
Shopee,R$0.00,Empréstimo,,"October 9, 2024",Não iniciada,No
Shopee,R$55.86,Crédito,,"October 9, 2024",Concluído,Yes
2° Shoppe,R$97.70,Compras,,"October 2, 2024",Concluído,Yes
MRV,R$786.21,Casa,,"November 16, 2022",Não iniciada,No
